commission,entryDt,entryID,entryPrice,exitDt,exitID,exitPrice,pnl,slippage,symbol,turnover,volume
198.5994,2019-02-21 14:30:00,144,3450.0,2019-02-22 14:31:00,145,3518.4,-4097.9694000000045,0.5700000000000001,IF88:CTP,397198.8,-57
223.25160000000005,2018-12-25 14:30:00,143,3019.4,2019-03-08 10:01:00,147,3745.8,47718.4884,0.66,IF88:CTP,446503.20000000007,66
199.7623,2019-03-08 10:00:00,146,3749.4,2019-03-15 11:01:00,148,3788.8,-2288.492300000005,0.53,IF88:CTP,399524.60000000003,-53
203.9284,2019-03-29 11:00:00,149,3831.0,2019-04-11 13:01:00,150,4012.4,9228.351600000004,0.52,IF88:CTP,407856.8,52
198.41609999999997,2019-05-06 10:00:00,151,3765.4,2019-05-15 14:01:00,153,3722.0,2101.2539000000047,0.53,IF88:CTP,396832.19999999995,-53
194.59480000000002,2019-05-10 10:00:00,152,3710.4,2019-05-17 11:01:00,154,3632.8,-4307.924799999995,0.53,IF88:CTP,389189.60000000003,53
199.24300000000002,2019-05-20 09:30:00,155,3622.4,2019-05-27 14:31:00,156,3622.8,-221.79300000000504,0.55,IF88:CTP,398486.00000000006,-55
198.32070000000002,2019-06-19 10:00:00,157,3741.8,2019-06-25 11:01:00,158,3742.0,-188.25070000000966,0.53,IF88:CTP,396641.4,53
202.195,2019-06-25 13:00:00,159,3734.4,2019-07-01 10:01:00,161,3895.6,-8746.324999999992,0.53,IF88:CTP,404390.0,-53
197.268,2019-07-01 10:00:00,160,3893.6,2019-07-04 14:31:00,162,3842.4,-2808.977999999991,0.51,IF88:CTP,394536.0,51
193.674,2019-07-19 13:30:00,163,3793.4,2019-08-13 09:31:00,164,3655.6,6971.406000000009,0.52,IF88:CTP,387348.0,-52
200.2884,2019-08-23 10:00:00,165,3804.4,2019-09-17 14:01:00,166,3899.0,4718.3915999999945,0.52,IF88:CTP,400576.8,52
199.77360000000002,2019-10-08 09:30:00,167,3811.0,2019-10-11 10:01:00,168,3872.6,-3403.4935999999952,0.52,IF88:CTP,399547.2,-52
197.235,2019-10-14 10:00:00,169,3965.2,2019-10-16 13:01:00,170,3924.2,-2247.735,0.5,IF88:CTP,394470.0,50
197.7882,2019-10-18 14:00:00,171,3856.8,2019-10-25 14:31:00,172,3899.6,-2381.0981999999863,0.51,IF88:CTP,395576.39999999997,-51
199.92510000000001,2019-10-28 10:00:00,173,3901.0,2019-11-11 10:01:00,175,3939.2,1747.7648999999908,0.51,IF88:CTP,399850.2,51
197.025,2019-11-11 10:00:00,174,3936.6,2019-11-20 09:31:00,176,3944.4,-587.5250000000091,0.5,IF88:CTP,394050.0,-50
199.055,2019-12-13 10:00:00,177,3951.6,2019-12-23 13:31:00,178,4010.6,2750.445,0.5,IF88:CTP,398110.0,50
201.115,2019-12-23 14:30:00,179,3990.2,2019-12-27 10:01:00,181,4054.4,-3411.6150000000134,0.5,IF88:CTP,402230.0,-50
199.62109999999998,2019-12-27 10:00:00,180,4057.6,2019-12-30 14:58:00,LastDay,4090.2,1397.2888999999955,0.49,IF88:CTP,399242.19999999995,49
