date,netPnl,slippage,commission,turnover,tradeCount,tradingPnl,positionPnl,totalPnl,balance,return,retWithoutFee,highlevel,drawdown,ddPercent
2018-06-01,-0.039412338262105454,0.0,0.016,152158.3,2,-0.023412338262105453,0.0,-0.023412338262105453,9.960587661737895,-0.003941233826210545,-0.002341233826210545,9.960587661737895,0.0,0.0
2018-06-02,-0.0063746162909596804,0.0,0.0008,7749.32,1,-0.00557461629095968,0.0,-0.00557461629095968,9.954213045446934,-0.000637461629095968,-0.000557461629095968,9.960587661737895,-0.006374616290960589,-0.06399839555097458
2018-06-03,-0.0480001804397193,0.0,0.016800000000000002,163516.69999999998,3,-0.04360541114112747,0.01240523070140817,-0.031200180439719297,9.906212865007216,-0.00480001804397193,-0.00312001804397193,9.960587661737895,-0.05437479673067891,-0.5458994848220808
2018-06-04,0.1570463576158936,0.0,0.008,76746.09999999999,1,0.16504635761589362,0.0,0.16504635761589362,10.06325922262311,0.015704635761589363,0.01650463576158936,10.06325922262311,0.0,0.0
2018-06-05,0.06666320402532053,0.0,0.008,74929.6,1,0.19199857584912416,-0.11733537182380364,0.07466320402532052,10.12992242664843,0.006666320402532053,0.007466320402532052,10.12992242664843,0.0,0.0
2018-06-06,0.021904916048111255,0.0,0.008,77247.2,1,0.029904916048111255,0.0,0.029904916048111255,10.15182734269654,0.0021904916048111254,0.0029904916048111253,10.15182734269654,0.0,0.0
2018-06-07,-0.2100813176770207,0.0,0.024,231863.4,3,-0.24100591989402867,0.05492460221700796,-0.1860813176770207,9.94174602501952,-0.02100813176770207,-0.018608131767702072,10.15182734269654,-0.21008131767701954,-2.0693941158106566
2018-06-08,-0.09551806252848116,0.0,0.008,76350.0,1,-0.08751806252848116,0.0,-0.08751806252848116,9.846227962491039,-0.009551806252848117,-0.008751806252848115,10.15182734269654,-0.3055993802055017,-3.0102893783487854
2018-06-09,-0.1590845682754006,0.0,0.056,537093.0,7,-0.16517567878268452,0.06209111050728391,-0.1030845682754006,9.687143394215639,-0.01590845682754006,-0.010308456827540061,10.15182734269654,-0.4646839484809018,-4.577342903838944
2018-06-10,0.3516621343267534,0.0,0.024,228429.09999999998,3,0.37566213432675344,0.0,0.37566213432675344,10.038805528542392,0.03516621343267534,0.03756621343267534,10.15182734269654,-0.11302181415414836,-1.1133149761009171
2018-06-11,0.8498018689687465,0.0,0.0,0.0,0,0.0,0.8498018689687465,0.8498018689687465,10.888607397511139,0.08498018689687466,0.08498018689687466,10.888607397511139,0.0,0.0
2018-06-12,-0.050985564372474056,0.0,0.008,67140.0,1,0.05838514651073645,-0.10137071088321051,-0.042985564372474055,10.837621833138664,-0.0050985564372474056,-0.004298556437247405,10.888607397511139,-0.05098556437247481,-0.46824687961592615
2018-06-13,0.19827129337539443,0.0,0.024,195109.0,3,0.22227129337539442,0.0,0.22227129337539442,11.03589312651406,0.019827129337539443,0.022227129337539443,11.03589312651406,0.0,0.0
2018-06-14,-0.14187660069848718,0.0,0.008,64251.0,1,-0.10776201113802976,-0.026114589560457417,-0.13387660069848717,10.894016525815571,-0.014187660069848718,-0.013387660069848716,11.03589312651406,-0.14187660069848818,-1.285592376367124
2018-06-15,-0.1395569230769224,0.0,0.0256,210626.03999999998,4,-0.1139569230769224,0.0,-0.1139569230769224,10.754459602738649,-0.013955692307692242,-0.01139569230769224,11.03589312651406,-0.2814335237754104,-2.550165360873766
2018-06-16,-0.06843409497015579,0.0,0.024,191549.3,3,-0.044434094970155796,0.0,-0.044434094970155796,10.686025507768493,-0.006843409497015579,-0.0044434094970155795,11.03589312651406,-0.3498676187455665,-3.1702700881091284
2018-06-17,-0.35031313643586687,0.0,0.024,195033.5,3,-0.02783182263859907,-0.2984813137972678,-0.32631313643586685,10.335712371332626,-0.035031313643586685,-0.032631313643586686,11.03589312651406,-0.7001807551814334,-6.344577164300626
2018-06-18,-0.20334426711682674,0.0,0.032,255303.40000000002,4,-0.17134426711682674,0.0,-0.17134426711682674,10.1323681042158,-0.020334426711682674,-0.017134426711682672,11.03589312651406,-0.9035250222982594,-8.187149077472613
2018-06-19,0.014226207635952224,0.0,0.0008,6614.69,1,0.015026207635952225,0.0,0.015026207635952225,10.146594311851752,0.0014226207635952225,0.0015026207635952225,11.03589312651406,-0.8892988146623075,-8.058240547162793
2018-06-20,-0.007114918773245551,0.0,0.0008,6673.0,1,-0.010810963054760469,0.0044960442815149175,-0.006314918773245551,10.139479393078506,-0.0007114918773245551,-0.0006314918773245551,11.03589312651406,-0.8964137334355531,-8.122711258247804
2018-06-21,-0.08173512909191688,0.0,0.032,269425.4,4,-0.04973512909191688,0.0,-0.04973512909191688,10.05774426398659,-0.008173512909191688,-0.004973512909191688,11.03589312651406,-0.978148862527469,-8.863341202330398
2018-06-22,0.8146229508196727,0.0,0.024,198920.0,3,0.8386229508196728,0.0,0.8386229508196728,10.872367214806262,0.08146229508196727,0.08386229508196727,11.03589312651406,-0.16352591170779718,-1.481764183769788
2018-06-23,0.08997070174710617,0.0,0.008,60409.799999999996,1,-0.027771091837157428,0.1257417935842636,0.09797070174710618,10.962337916553368,0.008997070174710617,0.009797070174710617,11.03589312651406,-0.07355520996069131,-0.6665089007066656
2018-06-24,0.07425937881916639,0.0,0.0048000000000000004,34620.0,1,0.07905937881916639,0.0,0.07905937881916639,11.036597295372536,0.007425937881916639,0.007905937881916639,11.036597295372536,0.0,0.0
